Full_Date,Holidays_Count,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI,Weekday,IsWeekend,AQI_Category,PM2.5_PM10_Ratio,NO2_SO2_Ratio
2021-01-01,0,5,408.8,442.42,160.61,12.95,2.77,43.19,462,Friday,0,Severe,0.9240088394736035,12.402307025245543
2021-01-02,0,6,404.04,561.95,52.85,5.18,2.6,16.43,482,Saturday,1,Severe,0.7189963391939436,10.202683006403465
2021-01-03,1,7,225.07,239.04,170.95,10.93,1.4,44.29,263,Sunday,1,Poor,0.9415578588705715,15.64042484865064
2021-01-04,0,1,89.55,132.08,153.98,10.42,1.01,49.19,207,Monday,0,Poor,0.6779981315870584,14.77733706589533
2021-01-05,0,2,54.06,55.54,122.66,9.7,0.64,48.88,149,Tuesday,0,Moderate,0.9733523634583429,12.645347788301251
2021-01-06,0,3,155.59,180.14,142.71,10.29,1.18,44.47,252,Wednesday,0,Poor,0.8637170609682991,13.868791186791851
2021-01-07,0,4,118.39,131.18,98.87,9.81,0.73,48.6,288,Thursday,0,Poor,0.9025003123570428,10.078481061691068
2021-01-08,0,5,140.05,184.29,102.61,10.34,0.79,43.06,248,Friday,0,Poor,0.759943525967577,9.923588081636286
2021-01-09,0,6,144.01,192.43,108.43,10.41,0.85,42.23,326,Saturday,1,Very Poor,0.7483759939522946,10.415936199869165
2021-01-10,1,7,131.57,180.38,93.31,9.92,0.69,51.96,284,Sunday,1,Poor,0.7294045498722391,9.406240517902704
2021-01-11,0,1,135.92,208.99,105.07,10.49,0.75,55.06,281,Monday,0,Poor,0.6503660151028271,10.016196362062571
2021-01-12,0,2,172.48,220.74,111.52,10.21,0.91,41.69,329,Tuesday,0,Very Poor,0.7813717141717986,10.922614179613927
2021-01-13,0,3,224.71,330.04,125.83,7.27,1.22,31.49,378,Wednesday,0,Very Poor,0.6808568452049193,17.30809173577478
2021-01-14,0,4,345.82,417.42,142.59,8.49,1.75,32.11,422,Thursday,0,Severe,0.8284701061647716,16.795033221397855
2021-01-15,0,5,462.62,517.76,178.15,10.11,2.51,25.81,456,Friday,0,Severe,0.8935027639542885,17.621149731800465
2021-01-16,0,6,185.66,230.76,124.98,7.39,1.65,27.53,388,Saturday,1,Very Poor,0.8045588141550176,16.912020416751805
2021-01-17,1,7,222.01,249.23,136.15,9.56,1.4,36.8,342,Sunday,1,Very Poor,0.8907835777882447,14.241616902074371
2021-01-18,0,1,232.16,318.1,210.31,14.92,1.32,28.17,401,Monday,0,Severe,0.7298333627842388,14.09583505641082
2021-01-19,0,2,227.93,299.28,185.82,12.98,1.69,23.02,400,Tuesday,0,Very Poor,0.7615944680033927,14.315859540940261
2021-01-20,0,3,159.91,193.78,142.41,7.45,0.88,31.96,322,Wednesday,0,Very Poor,0.8252141178029663,19.1154105833415
2021-01-21,0,4,182.39,243.84,276.46,5.6,1.5,33.7,328,Thursday,0,Very Poor,0.7479904548888429,49.36776898612681
2021-01-22,0,5,310.98,358.0,181.5,4.4,2.29,26.88,412,Friday,0,Severe,0.8686591936128718,41.249906250213066
2021-01-23,0,6,170.36,213.65,143.41,4.06,0.75,34.18,362,Saturday,1,Very Poor,0.7973788533873694,35.322573097110606
2021-01-24,1,7,230.38,287.86,123.99,3.05,0.81,27.77,370,Sunday,1,Very Poor,0.8003195720030719,40.652325730079575
2021-01-25,0,1,186.34,311.67,17.33,6.28,1.25,25.82,345,Monday,0,Very Poor,0.5978759393629178,2.759549745939895
2021-01-26,1,2,207.46,344.53,21.93,9.03,1.34,26.24,369,Tuesday,0,Very Poor,0.6021536411298396,2.428568739126535
2021-01-27,0,3,216.71,397.43,34.5,7.94,1.23,24.33,371,Wednesday,0,Very Poor,0.5452784000886094,4.3450826888127345
2021-01-28,0,4,294.71,496.55,40.31,9.89,1.9,26.13,373,Thursday,0,Very Poor,0.5935152433085239,4.075830054772442
2021-01-29,0,5,301.61,396.57,118.81,4.94,2.28,21.55,440,Friday,0,Severe,0.7605466686701802,24.050558602108094
2021-01-30,0,6,209.05,306.17,99.31,4.76,1.46,30.8,363,Saturday,1,Very Poor,0.682790584224758,20.863401547475743
2021-01-31,1,7,222.87,323.33,123.23,4.43,2.06,26.95,368,Sunday,1,Very Poor,0.6892957446170865,27.817092963672774
2021-02-01,0,1,285.13,398.91,117.62,4.76,2.09,30.4,400,Monday,0,Very Poor,0.7147727378412991,24.71003212178126
2021-02-02,0,2,304.79,416.62,127.92,6.06,2.5,24.16,408,Tuesday,0,Severe,0.731577919169077,21.108876057960302
2021-02-03,0,3,209.32,299.0,159.84,3.83,1.92,28.02,367,Wednesday,0,Very Poor,0.7000668662184995,41.733572497199745
2021-02-04,0,4,134.66,170.25,114.15,3.13,1.04,36.53,352,Thursday,0,Very Poor,0.7909544322493726,36.4695320462235
2021-02-05,0,5,68.49,116.65,113.61,3.82,0.72,30.54,142,Friday,0,Moderate,0.5871409698121757,29.740759840942825
2021-02-06,0,6,131.68,182.92,102.59,5.08,0.85,34.79,261,Saturday,1,Poor,0.7198775027401322,20.194842136137527
2021-02-07,1,7,180.68,241.07,96.85,5.47,1.18,34.4,279,Sunday,1,Poor,0.7494918177503705,17.705634907431616
2021-02-08,0,1,243.78,369.18,108.35,4.32,1.73,30.28,375,Monday,0,Very Poor,0.6603282772542316,25.080960460739675
2021-02-09,0,2,226.95,332.06,149.74,4.89,1.89,27.91,385,Tuesday,0,Very Poor,0.6834607997512258,30.62161427072747
2021-02-10,0,3,250.09,373.71,139.35,5.43,2.4,27.67,359,Wednesday,0,Very Poor,0.6692087268414353,25.6629361640218
2021-02-11,0,4,201.81,317.99,105.41,4.6,1.72,24.75,370,Thursday,0,Very Poor,0.634642578865921,22.915167575722663
2021-02-12,0,5,240.74,352.71,109.33,3.8,1.96,30.18,310,Friday,0,Very Poor,0.6825437134602447,28.770976918481793
2021-02-13,0,6,165.42,213.89,114.93,4.35,2.45,21.25,319,Saturday,1,Very Poor,0.7733881540330004,26.420628918094447
2021-02-14,1,7,198.9,286.26,104.33,4.7,2.07,28.86,371,Sunday,1,Very Poor,0.694822864010939,22.197825111010403
2021-02-15,0,1,174.53,292.2,112.66,3.85,2.0,18.42,335,Monday,0,Very Poor,0.5972963519063536,29.262261656463227
2021-02-16,0,2,182.05,278.41,116.09,3.87,1.81,25.66,344,Tuesday,0,Very Poor,0.6538917189076643,29.99733850816923
2021-02-17,0,3,214.19,333.83,102.23,4.54,1.86,23.61,367,Wednesday,0,Very Poor,0.6416139759274488,22.51757154719924
2021-02-18,0,4,167.49,249.49,97.38,4.55,1.7,24.92,335,Thursday,0,Very Poor,0.6713294852968261,21.402150764503816
2021-02-19,0,5,186.42,276.56,100.15,4.89,2.08,17.37,340,Friday,0,Very Poor,0.6740670858378983,20.480530714661118
2021-02-20,0,6,127.6,208.49,84.16,4.04,1.9,21.84,293,Saturday,1,Poor,0.6120197317847507,20.831631604872268
2021-02-21,1,7,209.65,300.97,87.44,3.43,1.85,36.61,356,Sunday,1,Very Poor,0.6965810314456248,25.492637047705397
2021-02-22,0,1,206.34,334.88,107.27,3.83,2.07,34.37,352,Monday,0,Very Poor,0.6161609945006871,28.007759770862215
2021-02-23,0,2,201.0,367.24,102.69,6.75,1.98,29.32,339,Tuesday,0,Very Poor,0.5473259844427082,15.213310795095119
2021-02-24,0,3,243.42,420.65,111.14,6.47,2.78,27.42,350,Wednesday,0,Very Poor,0.5786758450332617,17.17771688142677
2021-02-25,0,4,193.5,352.73,89.82,4.2,2.07,27.52,337,Thursday,0,Very Poor,0.5485782170901762,21.385663367468172
2021-02-26,0,5,164.34,297.78,101.71,3.68,1.99,23.51,295,Friday,0,Poor,0.5518839226313412,27.638511851869964
2021-02-27,0,6,81.79,268.51,36.22,3.64,1.16,33.52,225,Saturday,1,Poor,0.3046068934264314,9.950522113950235
